address,avg_chads,most_common_chadvolution,opt_in?,whitelists
0x0eb4bfb1f5561249821b8c963b2537fb9099bceb,168329.40143023405,GIGA CHAD,Yes,1
0x7ed5bbd68063b7708e749bdf8a110769ebf8ad7f,167042.08948012325,GIGA CHAD,No,0
0x67770461fa84f0b03fd1dce120cdeb36901bb677,163333.33333333334,GIGA CHAD,Yes,1
0x6470f824d5f09f939ccd3bc25506510e2eaaa69f,162957.47390536312,GIGA CHAD,No,0
0xf4a4b47fda6a45fc9bd20440c1f526f572c5a77c,161511.67867918825,GIGA CHAD,No,0
0x257e0e50ee20fdf21474b296542ad37494d5ff88,160000.0,GIGA CHAD,No,0
0x6da021597077296f1f4d0cd262bd765a5b09c95b,158760.05492215403,GIGA CHAD,Yes,1
0x31bda0a712ef93c7f0d8e392da0c86361f6aae56,155603.5284787294,GIGA CHAD,No,0
0xc8994fb5e7623c511034076b7006873598a78dd9,145335.48316977013,GIGA CHAD,Yes,1
0xa9ac72e3bbd107ec40546fc1c68c5e40fc7a9dd9,138377.74076419108,GIGA CHAD,No,0
0x443428aee6135b33ff9e077ce70cd1bcade69902,134860.5884327053,GIGA CHAD,No,0
0xa9a06117297587397619fc0cbcdbdbf7de7dd643,133100.35004142672,GIGA CHAD,Yes,1
0xb111dabb8edd8260b5c1e471945a62be2ee24470,126786.10571773926,GIGA CHAD,No,0
0x211b2d755b61a96bd9e8bacda3d360f28e3f2a10,124795.4645999624,GIGA CHAD,No,0
0x91f554adbd461e6f23db511e64d6416e2ed09cd5,122312.19166157284,GIGA CHAD,Yes,1
0x0a025f7f3a2b2b921092bbc3ef2a52d20949917f,117639.02826037306,GIGA CHAD,Yes,1
0x7347f24ce96e6a31ca12e30482392f682371310d,116843.12454970035,GIGA CHAD,No,0
0xb5efdb84b02844dd4fbd378c4abe73a680ec6a60,106284.11572829117,GIGA CHAD,No,0
0xe9c53d3480c5c4207fff2e58d342a2fcbc7e56ff,105348.02760306402,GIGA CHAD,No,0
0xa1f647d354c65d5448fc3f6c0b1474c580e5f388,105186.33729432432,GIGA CHAD,No,0
0xa1507e2641642df08afe19fe9f057ea8fd612a9c,102669.9474675032,GIGA CHAD,Yes,1
0x52632f5594690322950fe56d607842160806d129,101878.03131776008,GIGA CHAD,No,0
0x5a7e56c851f4c90352374dd062c4aa4bfc700eeb,101477.99170560234,GIGA CHAD,Yes,1
0xf94571dbdff33446dabd17040cd6236b0d2c2545,101364.66387058624,GIGA CHAD,No,0
0xc865aae92768162642300240057cf4f8ef317337,100896.32286476328,GIGA CHAD,No,0
0xad0cfe3056a3deb24b54c99f32e2896e5b4164e4,94704.60473444745,GIGA CHAD,No,0
0x28d02b415d2fca7d5a0fd91888289f950bb578a4,94637.88296212426,GIGA CHAD,No,0
0xe523bd0f83555e8a48e4fb8533b80e314b9fe63f,93005.59279196658,GIGA CHAD,Yes,1
0x3c111a68038e082ba3e6b6280fd0e90ced70891e,91794.15438850946,GIGA CHAD,No,0
0x6495f7405778ba871be9c978b0400eb9eae34858,91277.80975296612,GIGA CHAD,No,0
0x062f54ea45fc58cda7848bfd2dcf6091247ef709,79331.33066076001,GIGA CHAD,Yes,1
0xb8ecef369ae6128e0b6a5c67862fe51252dcb722,59029.231370247355,GIGA CHAD,No,0
0xaaa64b88fa880931ca679ed421b089427982907c,50000.0,GIGA CHAD,Yes,1
0xfe4cd5ef2a8a967aee34aef5992830d6a479f825,48929.86125055028,GIGA CHAD,No,0
0xf71d161fdc3895f21612d79f15aa819b7a3d296a,47714.01513423392,GIGA CHAD,Yes,1
0x7936f632f96d5f60238a3db354b9b843e871fdee,34485.931119926936,GIGA CHAD,No,0
0xc463e6147c9761bf3acef3d9e07da81b1d9c8b78,91096.34337685855,SUPER CHAD,No,0
0x1b29c126701438ef68eae21dfb77212143826ed9,87712.00311697689,SUPER CHAD,No,0
0x6ffc40e41897421f381abf343301fdd01cccec34,86566.71948730454,SUPER CHAD,No,0
0xf8aa26dd7b4a0023c626cbe4645e40ce1611c6ce,86132.78428804151,SUPER CHAD,No,0
0x8091714257c2aefe315da56a1de72514aab8ad0b,85867.51762524631,SUPER CHAD,Yes,1
0xb9629e56f703cd6694e3dbfa47246cede7c2cb3a,84247.60316689507,SUPER CHAD,No,0
0x8b78377936ef73e99724224654188ec6b31a3c36,83169.54117527271,SUPER CHAD,No,0
0x09e44cfd46ca2d1f141a53e58f8a5348c1bb4d9e,81934.25778922394,SUPER CHAD,Yes,1
0xcb114805b901f7a9c38d5675272ef26459a7d805,80621.8077048088,SUPER CHAD,No,0
0x94f3a87880cb56bb210695b984ced646a41d34d0,79850.10530818401,SUPER CHAD,No,0
0xb574fd23e96d3fd1086f71bf2ceb7e46a1817e47,79762.50392536088,SUPER CHAD,No,0
0x785d1cc561193445648d705354c7cddb00f5eb76,79227.74755623513,SUPER CHAD,No,0
0x399abd36b9c7cef008f75d8805ee5fdf05d41773,78809.07157102236,SUPER CHAD,No,0
0x726cdc837384a7deb8bbea64beba2e7b4d7346c0,77218.00284893009,SUPER CHAD,No,0
0xe8567cd6b991aa3644c07cd35de32a3f2c18b67e,75000.0,SUPER CHAD,No,0
0x731915e8bc8369ed9d3314393b5c94f6b84a1485,73649.63716413066,SUPER CHAD,No,0
0x678440f0c61a00779656f18e6ec68ef8b62b9209,72920.61808009713,SUPER CHAD,No,0
0xcebaa26c11bdf4f239424ccc17864b2c0f03e2bd,72530.96044853068,SUPER CHAD,No,0
0x1e9b851b1516ff13a249985a9540f992fd26fbb8,72299.16062003221,SUPER CHAD,Yes,1
0x98fd7670f441e3de7f071c0acfb1fd567998c8d2,71666.38296121197,SUPER CHAD,No,0
0x1d096f771713570f529a2db5aac1f296a3613a7e,71456.96028088796,SUPER CHAD,No,0
0x694bf88ebe333ec2f783fa02eb2674d132d603e5,69084.36007504689,SUPER CHAD,No,0
0x9e4eb6e360917fe633d1d757037aab14b1fb241d,67374.27590553166,SUPER CHAD,No,0
0xd2a4cdd3909c48269085095b84b330fb49c6d39b,67136.56286833361,SUPER CHAD,Yes,1
0xf8fff3139eb5e1667aaf4bfa5bfce69b7d4b4f36,64185.181073702675,SUPER CHAD,No,0
0x2b17cafa04c58234235e3a4d540bbc34377650ea,64119.28315415018,SUPER CHAD,No,0
0x6632cee3d1dcf86185c2737bf5c301a628623a14,60401.39183105994,SUPER CHAD,No,0
0xcc5d5a523315747c2752808c1eb54677abd24d3b,60026.66334951872,SUPER CHAD,No,0
0x2231069975ae3f9a7257951025ed23deafc7e080,56166.50030058412,SUPER CHAD,No,0
0xc8749075e60152a50b7bbecf5393b5e823a48873,55499.89964481771,SUPER CHAD,No,0
0x3554c76dcf4c1634e5249c0a8b324842ee646d86,54908.20987641173,SUPER CHAD,No,0
0x43d87cfc025f421171b48159de25c5a63fb8b8aa,54134.77663831041,SUPER CHAD,No,0
0x1e27c17432abff8e314b421be50c63a42d3e95e0,53301.749135539925,SUPER CHAD,No,0
0x58104c6ba9d0ac1b5bd6ecaab37300e6b465a6ab,53178.05894468839,SUPER CHAD,Yes,1
0x429f19138cc75e15cdacd68a8cfead04f4d458b7,51565.99264598307,SUPER CHAD,No,0
0xd1ea52cb8dd96a8fd8521f453653e5e786bced12,51413.25642913006,SUPER CHAD,No,0
0x0ee46064db8f17ae94bca962825f1d608f079c93,51320.9160932,SUPER CHAD,Yes,1
0x1e88b362aa8e29e755db9b0c5155b24e52e88b90,51249.99999999999,SUPER CHAD,No,0
0xb36748ed63d563eb68ca1299318791bc5c75adc5,50669.109175199665,SUPER CHAD,No,0
0xb8f2d36d215312a918de277dc85947cd7e01557a,50000.00000000002,SUPER CHAD,No,0
0x71b99da67fdbab5a90f0eae8581e29259a259856,49999.99999999999,SUPER CHAD,No,0
0xb1db3e730df1833983222130cf95139f6b563578,49888.39801885214,SUPER CHAD,No,0
0x2248e7a29209111a04fa58b995d457fa2577464d,49676.217395253625,SUPER CHAD,No,0
0x1023493812703b21042c34c79d64074b3869fe58,49161.333638303004,SUPER CHAD,No,0
0xf5c49e947b604f856b3d0a94f9c3d92988a8053e,48813.37672527777,SUPER CHAD,No,0
0x6dc4e599651fa1d1ae69a2f7cdfee1956cf0dd4e,46883.81546799428,SUPER CHAD,No,0
0x3c6ed28d1e46f98cf6b6f21853f5fd1b556f538b,46223.66642295113,SUPER CHAD,Yes,1
0x98bf452242df2d300cdc5abac9abbb40a4c61590,45914.85526783487,SUPER CHAD,No,0
0xc2c0a998750b6006e58d445896af901d73f6f267,45784.794818227594,SUPER CHAD,No,0
0xa901d5bcab867e85a14056ce0e2ab6cba9e36e9a,45396.64788135816,SUPER CHAD,No,0
0x0d2c20d369c745b5e5da72bc1921fa4e59f7f6e3,45015.03965536734,SUPER CHAD,No,0
0xe113e7b1e8ecd07973ea40978aed520241d17f27,44656.11871541371,SUPER CHAD,Yes,1
0x8356abe66202ae657692d255510ea42589ccf763,44578.01580623243,SUPER CHAD,No,0
0x92ceb7bf60718b5ac2582773dfce3383e1fcc1d0,44030.585392018555,SUPER CHAD,Yes,1
0xd2c0c1146009a1a2021b46c074bed3939dee3d87,43945.09228546997,SUPER CHAD,No,0
0xf872ea3e3bc2d9efcb660de497a6f1c50e4ad25d,43502.796727318906,SUPER CHAD,No,0
0x3b49e8183519a5d70a424297e84c65ee207c8fca,43120.943556992046,SUPER CHAD,No,0
0xe875ef3f70ed266385898672c0077567008251de,42893.144655730175,SUPER CHAD,No,0
0x0daf36d9d7bdeb42c3aee86ad0490834691a9bc0,42505.363829332106,SUPER CHAD,No,0
0xd43182d3dfc2d686a3cc9a96086385008f7bea38,42425.91455114644,SUPER CHAD,No,0
0x4b1974a7be198da617e894f0521403dab5d8b057,42296.70833221553,SUPER CHAD,Yes,1
0xb2b500cd4312d8a3aedd2aab471744d79c77800c,41118.18660733636,SUPER CHAD,No,0
0xc4ebaf58db97305f2058650a6067730722c17279,40142.52902339596,SUPER CHAD,No,0
0xf7a1a3f5c13a1807af307a9c1fc0c1f3ac80cdc7,39864.70034894096,SUPER CHAD,No,0
0x65b7f1858b846374f16ffb85dd63dc114c0476c9,39525.44494368041,SUPER CHAD,No,0
0x68ae536af9ceebdbcc1139f9981496e392398f1f,39450.641061875,SUPER CHAD,No,0
0x539c82d5cb886c94dd3e2d76dd5c73936c1cf391,39389.12952657674,SUPER CHAD,No,0
0x1f6a9b8c591914d6219c42ff656a922755e5f7b1,39336.809226632686,SUPER CHAD,No,0
0x5a3ca3fad3785e634fde51bd782057d9abb82bce,37707.458456671855,SUPER CHAD,No,0
0x394521a5809170ee794741c3cf16527376ae34b0,37518.946752524964,SUPER CHAD,No,0
0x3acb5eaecfab99d01e86f7068ae7b90479fb50e9,37475.008814202425,SUPER CHAD,No,0
0xcbe2c22413bc89e11d9854e90104ee098eaee61e,36715.10131510522,SUPER CHAD,No,0
0x03b48397b1563b7864361912874295c1c3c06c90,36262.802222197955,SUPER CHAD,No,0
0x34d1de1ca668b21f3937e9c2ad706f97102fecc3,36087.68061675357,SUPER CHAD,Yes,1
0xfa68a2b3665b1ef3ce6d166b06dc0500f8e5472e,35918.85156311906,SUPER CHAD,No,0
0xbcd137a9439fae4bebe89f9b41827dc4c88ff9f4,35233.461406040406,SUPER CHAD,No,0
0x611de5ed215adf62032cc786f8bb7594ad433a30,35215.77806118232,SUPER CHAD,No,0
0x5d5b0b967a9e006af9737ffc37902f80bb23ceb3,34969.516261974466,SUPER CHAD,No,0
0x5a09813e22f9abd2ec5e90126a0260a0f9655f54,34565.43773405033,SUPER CHAD,No,0
0xbd094bbbf987686b5b432f40d08fcd8d1a0f5395,34235.413526877084,SUPER CHAD,No,0
0x45c9e2df9e015d020a91808ca3674744166fcfc6,34066.03031092419,SUPER CHAD,No,0
0x1cffdc746936c8f5195a29c5d6f5da1b989add6f,34028.40892407255,SUPER CHAD,No,0
0x36e0caf9d18301104e6c9d5f1db9e3cc6efd6ac3,33054.89400628053,SUPER CHAD,No,0
0x0898828b82007211f14b5bd2292f2b813effa703,32802.63563174433,SUPER CHAD,No,0
0x88df446346eb051b8d19a47951141177f57d4329,32480.955609540408,SUPER CHAD,No,0
0x9890a25966edf68f116cddae9a021d043950c03d,31837.93894473647,SUPER CHAD,No,0
0xca0a07b8af05b4a3121396718400482a07f5f193,31621.23074395425,SUPER CHAD,No,0
0xb67d92dc830f1a24e4bffd1a6794fcf8f497c7de,31619.909007648155,SUPER CHAD,No,0
0x7e47637f7428a2ad23b33927a7e1c86f5dc3f973,31568.458702587086,SUPER CHAD,No,0
0x19cf388796c31fa7a583270d82659ecd2b4fd490,31565.210932585716,SUPER CHAD,No,0
0x2f2b395d6385d9e35edf62e0b895234066bcc331,31236.090630536317,SUPER CHAD,No,0
0xa7b5400973ee73d360f4adc88a011d7be388fd64,30925.610501364037,SUPER CHAD,No,0
0x8770e81a19ef799e9f39457d1b43b4c786ad5ead,30892.700941673847,SUPER CHAD,No,0
0x5fc0d57807aa9a029f8306baf0c4dccafe87afaa,30650.407826239534,SUPER CHAD,No,0
0x89be622f42f52857cbb2fd24873da41b14441daf,30621.04742266511,SUPER CHAD,No,0
0x1f8c7def38b418dfc255f08f390476285d578b05,30556.94469545504,SUPER CHAD,Yes,1
0x8896b60220f4b0f2a03bd05b32daed8a3b06e734,30422.249522694547,SUPER CHAD,No,0
0xcfc579300d3e8016c70147a37c48cc6467daee98,29091.094704837986,SUPER CHAD,No,0
0x3c5df9404912a166dee451c62c53186af00e1be3,29080.531963239908,SUPER CHAD,No,0
0xaf8c992578bcd951bd9d92e12220eb8bcfbf6539,28657.747667676278,SUPER CHAD,No,0
0x2ec6b9d3deb35211879732689247cc2dbec2e852,28329.93805393748,SUPER CHAD,No,0
0x793f729b7effdc067189969fda5041dbcad074cd,28133.7986814844,SUPER CHAD,No,0
0x6deed894f45993f5b984c099755b19b3c51b911f,28037.877828176996,SUPER CHAD,No,0
0x7d2cf30b4506737864ce3e859928c3fec9d92fcb,27943.336840283217,SUPER CHAD,No,0
0xe791e823be5bf86e5a17e4493718d63ce1298aea,27902.250097833847,SUPER CHAD,No,0
0x827b7e245e9ef55d84a841aa9fc9da9a1cb63fc2,27831.90875300708,SUPER CHAD,No,0
0x8d0a2435f5c0d69950ee2f66e1df2d95993658e7,27631.358545836425,SUPER CHAD,No,0
0x4b738d5fc9d56254a73ef852d9d3ac199090f92b,27628.360005905637,SUPER CHAD,No,0
0x3e0f381e70000a57924f894db7efc972de8b2e99,27500.9402260819,SUPER CHAD,No,0
0x1b1dc2a87150d1f4fee277060bf27a2acaafe4ab,27111.46338741671,SUPER CHAD,No,0
0xc23df1b491bf7874fd8bfa13735c6add14250415,26667.000000000004,SUPER CHAD,No,0
0xe5a3cc80eab68097db694d78733418e0317671a6,26077.157282301738,SUPER CHAD,No,0
0x4a5bb1c9347a0d4f7e06a29239162f03647d9232,25072.769833093116,SUPER CHAD,No,0
0x0a37ec9432589681dae5d5be4d0801281bb702ce,25000.0,SUPER CHAD,No,0
0x534d1a3374c966502e25d1d5d1e0ba9b5bd67c37,24786.526153589355,SUPER CHAD,No,0
0x2ac30051df11dd6a21349221475a55ac64806cc6,23743.321605540335,SUPER CHAD,No,0
0x3dc291bcadfc55c1b334f19d0e193ec405d84caa,23313.07342832582,SUPER CHAD,No,0
0xb30e31d2b3f3615085b7c626110efaf09aafc506,23301.244443278858,SUPER CHAD,No,0
0x74506fbd72ef894ce3725187a7bb62d101c6b145,22712.03974729638,SUPER CHAD,No,0
0xb248d6b4d44907abbf0ca37ab1169621200b5e17,22588.76650248737,SUPER CHAD,No,0
0x48ff0c529086f61ccc3feebcd775241a0d8f6caf,22382.308223376353,SUPER CHAD,No,0
0x9b3740b30fa17a362c327905c150bdf6b75fe4a1,22205.333221838733,SUPER CHAD,No,0
0x519bc13d6e365406b09ae4602515e0fc7bdf7ec2,22131.885545891506,SUPER CHAD,No,0
0xbb3c966d3268558e5116116b36149e32f5eaf107,22086.899335615566,SUPER CHAD,No,0
0xcf72bb8d1f8bd1ea52ec2b18d902a0d1790ee77a,22028.664528103214,SUPER CHAD,No,0
0xb20e7fb99c81c05fdb7e7df3669e763daadb663b,21970.77536059078,SUPER CHAD,No,0
0x46c7f9e3e4e49e2437602a9347eaeaceb3851c2b,21682.37778531509,SUPER CHAD,No,0
0xa0e0929e3d02ee544de534fe857481fe27fe9cd7,21398.362594426137,SUPER CHAD,No,0
0xe9f176b51811c16723d8c015ca2e569e00c9a90c,21309.308883422967,SUPER CHAD,No,0
0xc2b169944bc972f3d0ea37c6a54b8088c1a33209,21150.393154358524,SUPER CHAD,No,0
0x8c21c9809bcd0eb378835ffaaa97eecf297be77b,20606.462067422075,SUPER CHAD,No,0
0x98e03ae8acda98877fcd3eb9bf89f4a7c2f5a680,20561.77559564956,SUPER CHAD,No,0
0xf701951266c6af7ed6d0c21d25af4020c0da163c,20409.796384492296,SUPER CHAD,No,0
0xf27b8e564d492ef9787840e18ea2008ed568d71f,20214.683774773115,SUPER CHAD,No,0
0xc5a616b15a621d05accf1220e0badd48306c4e80,20047.354646327163,SUPER CHAD,Yes,1
0x06231e5926d13ea0851ece3b69cb2f3ca1d72e5b,20000.022020567147,SUPER CHAD,No,0
0x0169c224f455256120cbb7043c821de3e02e4217,20000.0,SUPER CHAD,No,0
0x700e59befc068aee281bd809ce8929d19d215086,20000.0,SUPER CHAD,No,0
0x9e653fd940e0119e564b59c42b646ff692889c45,20000.0,SUPER CHAD,No,0
0x5386d9cc24a5b84913a323e22a8f8c826a841a37,20000.0,SUPER CHAD,No,0
0x5156fe9125c5e0917e38c003689f4f20aa7ebf4e,19999.999999999996,SUPER CHAD,No,0
0x1eaf0e6c1e8b028f005809ad098fcdc263b9b4ee,19768.514940878085,SUPER CHAD,Yes,1
0xea11313c520a0b7e3ef3c0fd180c275d33dd6b4a,19570.0770476232,SUPER CHAD,No,0
0x94e93ab8ea6a622f24164bccb895c78bfcc87d70,19479.185779622752,SUPER CHAD,No,0
0xdad071dae2015eb1525ee83b0e8c7ac1b200bedb,19443.25201034429,SUPER CHAD,No,0
0x9e640c38e4c3530c298ca43e4da73eaa7123b2d1,19396.20440803203,SUPER CHAD,No,0
0x214218bc7140e91bf0436a9f3045a9075d3b473b,19340.47504203316,SUPER CHAD,No,0
0xa687fb58dd1feaba51170e2835bec4311871068c,19312.54206220112,SUPER CHAD,No,0
0x3a0b433cdf858a29f3f31426d14dd5264700bd77,19167.808991857757,SUPER CHAD,No,0
0xfce9f37f4f554419e9c370c9e6c67bd0020bf577,19108.34410229033,SUPER CHAD,No,0
0xdcfe447812a20a59cea49204ee6137f018996155,19087.525078625746,SUPER CHAD,No,0
0xd5a85153146510070b67ac5953a23b73a4162a05,19074.36682033736,SUPER CHAD,No,0
0x8198af5b1476f88592b93cd04beeb5d4d32790ee,18877.741275910357,SUPER CHAD,No,0
0xa911e9af1747ced514b0596d85504a0501a5fd88,18782.380414754505,SUPER CHAD,No,0
0x9ec3b6956125e34c8abba9b2af721e0a2faaf054,18484.62943015933,SUPER CHAD,No,0
0xce96c75b5b2252efb6d22770c7d7a3567c4c30f1,18382.3281438216,SUPER CHAD,No,0
0xe3e62c5084acab5722e7bcbb833bbe30e2fab502,18288.329823660682,SUPER CHAD,No,0
0x1377bb9b5b26c3422ee332269d37f4cf3fba9b65,18195.95082846413,SUPER CHAD,No,0
0xafdff5466db276b274bae48336d1b6f70f644065,18127.67258592625,SUPER CHAD,No,0
0xbb35a21de58ae57526000df4916fa09948534671,18070.55102482849,SUPER CHAD,Yes,1
0xcdb971bb6a0c2f39a5e72c9431ecd6da113ec72b,17926.532420301315,SUPER CHAD,No,0
0x18a168ffc966f1d4b5ef33d38158f182dd30ccdc,17631.752943856423,SUPER CHAD,No,0
0xbbca10a2e4628c10d3b36fd851f55f8b85f44574,17600.933399664842,SUPER CHAD,No,0
0x8c953f1f649ba2af008104ab427f5318c5c7c7ed,17518.352077703268,SUPER CHAD,No,0
0x02b3a173e1b098bee79bdadc8d321dca0030e1d9,17368.366321515638,SUPER CHAD,No,0
0xfe1ac70318c4b24f451420e0a174d31fb15229bb,17354.48058815834,SUPER CHAD,No,0
0x183b6267cb9f985a8aa7fc912672a21d644a4102,17185.021978058983,SUPER CHAD,No,0
